ID;primary_label;Latitude;Longitude;citation_lucienfeld_harrer;URI_wien_wiki;URI_lucienfeld_harrer;adress_today;adress_1822;adress_suttingerstadtplan;district;alternative_label
254;Wollzeile, Schlüsselbergerisches Haus;48.2088543;16.3755978;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955, S. 483. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wollzeile_13&oldid=511355;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289024;Wollzeile 13;776;;Stubenviertel;"Wollzeile, Schlüsselbergisches Haus;Wollzeile, Schlisselbergisches Haus, neben dem"
255;Wollzeile, Putzisches Haus;48.2086433;16.3759387;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 487. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Berthahof&oldid=510283;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289026;Wollzeile 15;777;;Stubenviertel;"Wollzeile, Pozy/Butzi, Freiherr, Haus;Wollzeile, Putzisches Haus, eH;Wollzeile, Puz, Freiherr, Haus"
256;Wollzeile, Degetzisches Haus;48.2086145;16.3761844;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 490. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wollzeile_17&oldid=511270;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289029;Wollzeile 17;778;;Stubenviertel;"Wollzeile, Daget, Georg, Haus;Wollzeile, Degets, Johann, Haus;Wollzeile, Degetz, Georg, Haus;Wollzeile, Deggez Haus"
257;Wollzeile, Haffnerisches Haus;48.2085249;16.3764556;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 495. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wollzeile_19&oldid=511318;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289031;Wolzeile 19;779;;Stubenviertel;"Wollzeile, Haffer, Jakob, Haus;Wollzeile, Haffner, Jacob, Haus"
258;Wollzeile, Zum roten Engel;48.2083608;16.3766114;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955, S. 495. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wollzeile_21&oldid=511357;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289036;Wollzeile 21;780;;Stubenviertel;"Wollzeile, beim roten Engel, eH;Wollzeile, beim roten Engel"
259;Wollzeile, Pfannisches Haus;48.2083517;16.3768449;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 501. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wollzeile_23&oldid=511194;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289038;Wollzeile 23;781;;Stubenviertel;"Wollzeile, Pfanisches Haus;Wollzeile, Pfann, Adam, Haus;Wollzeile, Pfannsches Haus, eH"
260;Stubentor, Zum scharfen Eck;48.208218;16.3774444;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955, S. 501. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wollzeile_29&oldid=511301;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289042;Wollzeile 27;783;;Stubenviertel;"Stubentor, scharfes Eck;beim scharfen Eck;scharfes Eck"
261;Wollzeile, Königsackherisches Haus;48.2081627;16.377731;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 671. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wollzeile_29&oldid=511301;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289044;Wollzeile 29;784;;Stubenviertel;Wollzeile, Königsackher, Baron, Haus
262;Stubentor, Zum blauen Bock;48.2080042;16.3783665;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,2, Wien: Selbstverlag, 1954, S. 381. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Postgasse_1&oldid=510916;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2283495;Postgasse 1;787;;Stubenviertel;Stubentor, blauer Bock
263;Riemergasse, Pozzisches Haus;48.2076507;16.377494;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 710. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Zedlitzgasse_1&oldid=511308;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289212;Zedlitzgasse 1;795;;Stubenviertel;"Riemergasse, Pozo, von, Herr, Haus;Riemergasse, Pozzo, Johann, Haus;Riemergasse, Pozzosches Haus, eH;Schulerstraße, Pozzo, Sekretär Haus"
264;Jakobergasse, Knäfflisches Haus;48.2064887;16.3771646;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 711. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=An_der_H%C3%BClben_6&oldid=797407;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289251;An der Hülben 6;807;;Kärntnerviertel;"Jakobergasse, Knafflerisches Haus;Jakobergasse, Knäfflische (?) Erben, Haus;Jakobergasse, Kneiffische Erben, Haus;Jakobergasse, Kneifflerisches Haus"
265;Jakobergasse, Coranthisches Haus;48.2066603;16.3770726;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 710. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=An_der_H%C3%BClben_4&oldid=797408;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289250;An der Hülben 4;808;;Kärntnerviertel;"Jakobergasse, Choranti(n)/Charanti(n), Witwe, Haus;Jakobergasse, Correnti/Caranti, Johann/Thomas, Haus"
266;Jakobergasse, Zieglerisches Haus;48.206929;16.3770622;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 684. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=P%C3%BCttlingerhof&oldid=510961;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289248;Jakobergasse 4;809;;Kärntnerviertel;Jakobergasse, Zieglerische Erben/Zieglerisches, Haus
267;Jakobergasse, Gruenfelsisches Haus;48.206929;16.3770622;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 687. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=P%C3%BCttlingerhof&oldid=510961;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289246;Jakobergasse 4;810;;Kärntnerviertel;"Jakobergasse, Grienfelß, Sekretär, Haus;Jakobergasse, Grienfelß, von, Witwe Haus;Jakobergasse, Grienfelß, Witwe, Haus;Jakobergasse, Grienfelßische Erben, Haus;Jakobergasse, Grüenfelß, Witwe/Grüenfelßisches, Haus;Jakobergasse, Grüenfelßische Erben, Haus"
268;Riemergasse, Zum weißen Stiefel;48.2070185;16.3768001;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 688. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Zum_wei%C3%9Fen_Stiefel&oldid=511452;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289225;Riemergasse 9;811;;Kärntnerviertel;"Riemergasse (Riemerstraße), weißer Stiefel;Riemergasse, weißer Stiefel, beim;Riemerstraße, weißer Stiefel"
269;Riemergasse, Schmidtisches Haus;48.20683;16.3766793;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 688. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Riemergasse_11&oldid=510977;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289228;Riemergasse 11;812;;Kärntnerviertel;"Riemerstraße, Schmid, Christoph, Haus;Riemerstraße, Schmidtsches Haus, eH"
270;Riemergasse, Haslmannisches Haus;48.2066746;16.3766041;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 688. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Riemergasse_13&oldid=511109;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289229;Riemergasse 13;813;;Kärntnerviertel;"Riemergasse, Haßlmanisches Haus;Riemergasse, Haßlmanisches Haus, eH"
271;Riemerstraße, Fabricisches Haus;48.2065267;16.3763365;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955, S. 692. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Riemergasse_15-17&oldid=511032;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289233;Riemergasse 15;815;;Kärntnerviertel;"Riemerstraße, Fabrizisches Haus;Riemerstraße, Fabritzisches Haus;Riemerstraße,neben dem Fabri[zi]schen Haus"
272;Riemergasse, Urschenbecksches Haus;48.2066593;16.3760849;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 696. (Manuskript);https://www.geschichtewiki.wien.gv.at/Riemergasse_16;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289232;Riemergasse 16;816;;Kärntnerviertel;Riemergasse (Riemerstraße), Urschenbecksches (?) Haus, eH
273;Riemergasse, Wenisches Haus;48.2070141;16.3764508;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 601. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Riemergasse_10&oldid=511125;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289238;Riemergasse 10;819;Sebastian wenisch Pökh;Kärntnerviertel;"Riemergasse, Wenisch, Sebastian, Haus;Riemergasse, Wenisches Haus;Riemerstraße, Wenisch, Sebastian, Haus"
274;Riemerstraße, Daunisches Haus;48.2071377;16.376615;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955, S. 696. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Riemergasse_8&oldid=511138;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289236;Riemergasse 8;820;;Kärntnerviertel;Riemerstraße, Daunisches Haus
275;Riemergasse, Zur goldenen Ente;48.207505;16.3769432;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955, S. 601. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Zur_goldenen_Ente_(1)&oldid=511402;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289142;Riemergasse 4;822;;Kärntnerviertel;"bei St. Jakob, Goldene Ente;St. Jakob, nächst, goldene Ente (Aenden)"
276;Schulerstraße, Inamisches Haus;48.2078724;16.376337;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 649. (Manuskript);https://www.geschichtewiki.wien.gv.at/Schulerstra%C3%9Fe_18;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289139;Schulerstraße 18-20;824;;Kärntnerviertel;Schulerstraße, Inamasches Haus, eH
277;Ksl. Klepperstall;48.2075023;16.3760112;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 654. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=S%C3%A4nftenstall&oldid=511291;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289189;Kumpfgasse 5;826;;Kärntnerviertel;"Kumpfgasse, Hofstall;Kumpfgasse, Klepperstall;Kumpfgasse, Stall, Hof-;Neue Welt, Klepperstall EG;Neue Welt, Klepperstall, ksl.;Neue Welt, Stall, ksl.;Neue Welt, Stallhaus, ksl."
278;Kumpfgasse, Farberisches Haus;48.2072245;16.3759479;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955, S. 649. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Kumpfgasse_7&oldid=510772;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289190;Kumpfgasse 7;827;;Kärntnerviertel;Neue Welt, Färberisches Haus
279;Kleiner Ramhof;48.2069049;16.3758637;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955, S. 654. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Kleiner_Ramhof&oldid=510705;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289195;Kumpfgasse 11;829;;Kärntnerviertel;Riemerstraße, kleiner Ramhof
280;Am grünen Anger, Breunerisches Haus;48.2074979;16.3755519;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955, S. 622. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Gr%C3%BCnangergasse_3-5&oldid=510615;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289163;Grünangergasse 3;832;;Kärntnerviertel;Grüner Anger, Breunerisches Haus
281;Neuburgerhof;48.2078366;16.3758778;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955, S. 591. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Neuberger_Hof&oldid=510876;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289132;Grünangergasse 1;833;;Kärntnerviertel;"Grüner Anger, Neuburgerhof;grüner Anger, auf dem, Neubergerhof;Neubergerhof;Neuberger Hof"
282;Am grünen Anger, Benefiziatenhaus;48.2073766;16.3753757;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 643. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Zur_goldenen_Bethen&oldid=511477;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289165;Grünangergasse 7;835;;Kärntnerviertel;Grüner Anger, Benefiziathaus
283;Am grünen Anger, Mayrhofferisches Haus;48.2075501;16.3748468;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 606. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Sackgasse_(1)&oldid=481873;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289184;Grünangergasse 8;839;;Kärntnerviertel;"Grüner Anger, Mayrhoffer, Matthias, Haus;Grüner Anger, Mayrhoffer, Matthias/Mäyrhofferisches, Haus;Grüner Anger, Mayrhoffer/Mayrhoff/Merhoffer, Matthias, Haus"
284;Am grünen Anger, Küpfelbeckisches Haus;48.2074875;16.375211;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955, S. 628. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Zum_gr%C3%BCnen_Anger&oldid=511492;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289169;Grünangergasse 8;841;;Kärntnerviertel;Grüner Anger, beim Küpffelbäck, Küpffelbeckisches Haus [Kipferlbäcker?]
285;Blutgasse, Khremerisches Haus;48.2076312;16.3753386;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 604. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Gr%C3%BCnangergasse_6&oldid=510474;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289168;Grünangergasse 6;842;;Kärntnerviertel;"Blutgasse, Cremer, Jacob, Haus;Blutgasse, Kremer, Johann Jakob, Haus;Blutgasse, Kremmersches Haus, eH;Grüner Anger, Cremer, Dr. Haus;Grüner Anger, Cremer, Dr., Haus;Grüner Anger, Kremer, Dr., Haus"
286;Kleiner Bischofshof;48.2079149;16.3751468;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 614. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Domgasse_6&oldid=791149;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289147;Domgasse 6;845;;Kärntnerviertel;"Grüner Anger, Bischofhof, kleiner;Grüner Anger, Bischofshof, kleiner"
287;Trienterhof;48.2080256;16.3747992;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955, S. 604. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Trienter_Hof&oldid=511323;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289145;Domgasse 4;846;;Kärntnerviertel;neben der Blutgasse, Trienterhof
288;Blutgasse, Fridisches Haus;48.2076312;16.3753386;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 615. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Gr%C3%BCnangergasse_6&oldid=510474;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289155;Blutgasse 3;847;;Kärntnerviertel;"Blutgasse, Fendt/Frid/Fridt, Margaretha, Witwe, Haus;Blutgasse, Frid, Margaretha/Anna, Witwe, Haus;Blutgasse, Fridisches Haus;Blutgasse, Fritisches Haus"
289;Juristenschule;48.2081015;16.3756121;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955, S. 589. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Juristenschule&oldid=510733;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289130;Schulerstraße 14;850;;Kärntnerviertel;Schulerstraße, Juristenschule
290;Singerstraße, Zum steinernen Rössel;48.2074786;16.3731594;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955, S. 583. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Zum_Einhorn_(1,_Singerstra%C3%9Fe)&oldid=511399;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289124;Singerstraße 10;852;;Kärntnerviertel;"Steinernes Rößl;Singerstraße, steinernes Rößl, beim;Singerstraße, Steinernes Rößl;Singerstraße, neben dem steinernen Rößl"
291;Schulerstraße, Nußbaumisches Haus;48.2075856;16.3773061;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 546. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Schulerstra%C3%9Fe_6&oldid=511060;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289118;Schulerstraße 6;854;;Stubenviertel;"Schulerstraße, grüner Nußbaum;Schulerstraße, grüner Nußbaum, beim"
292;Wollzeile, Opplisches Haus;48.2080577;16.3770788;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955, S. 550. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wollzeile_26&oldid=511369;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289091;Wollzeile 26;856;;Stubenviertel;"Wollzeile, Oppliches Haus;Wollzeile, Opplisches Haus, sonst Niphisches Haus genannt;Wollzeile, Opplisches sonst Niphisches Haus"
293;Wollzeile, Linckhisches Haus;48.2080317;16.3768204;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955, S. 546. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Zum_roten_Mann_(1,_Wollzeile)&oldid=511488;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289087;Wollzeile 24;857;;Stubenviertel;Wollzeile, Linckisches Haus
294;Wollzeile, Pidermannsches Haus;48.2082813;16.376373;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 537. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wollzeile_20&oldid=511212;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289082;Wollzeile 20;859;;Stubenviertel;"Wollzeile, Bidtermanische Erben Haus;Wollzeile, Bittermanische Erben, Haus;Wollzeile, Bittermanisches Haus;Wollzeile, Bittermansches Haus;Wollzeile, Bittermonisches Haus;Wollzeile, Pidermanische Erben, Haus;Wollzeile, Piterman, Jacob, Haus;Wollzeile, Piterman, Johann, Haus;Wollzeile, Pitermanische Erben, Haus;Wollzeile, Pitterman, Johann, Haus;Wollzeile, Pitterman, Matthias Haus;Wollzeile, Pittermanische Erben, Haus"
295;Wollzeile, Rohrerisches Haus;48.2082912;16.3762285;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 534. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wollzeile_18&oldid=511352;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289078;Wollzeile 18;860;;Stubenviertel;Wollzeile, Rohrersches Haus, eH
296;Wollzeile, Winckhlerisches Haus;48.2083669;16.3760728;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 530. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wollzeile_16&oldid=511159;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289075;Wollzeile 16;861;;Stubenviertel;Wollzeile, Winckhler, Dr., Haus
297;Wollzeile, Zwickhlisches Haus;48.2082931;16.3758332;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 527. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wollzeile_14&oldid=511312;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289071;Wollzeile 14;862;;Stubenviertel;"Wollzeile, Zwickhelstorfferisches Haus;Wollzeile, Zwickhlstorffer, Matthias, Haus"
298;Wollzeile, Schmidtsches Haus;48.2085922;16.3754758;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955, S. 527. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wollzeile_12&oldid=511286;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289068;Wollzeile 12;863;;Stubenviertel;"Wollzeile, Schmidt Haus;Wollzeile, beim Schmied"
299;Weihburggasse, Heissensteinisches Haus;48.2086414;16.3752611;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955, S. 522. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Clusiushaus&oldid=510045;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289063;Wollzeile 10;864;;Stubenviertel;Weiburggasse, Heissensteinisches Haus
300;Wollzeile, Zum Stobelkopf;48.2087588;16.3750468;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 3,2, Wien: Selbstverlag, 1957, S. 428. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Zum_Strobelkopf_(1)&oldid=511432;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289053;Wollzeile 6-8;866;;Stubenviertel;"Wollzeile, Stroblhof;Wollzeile, Stroblkopf, beim;Wollzeile, Stroblkopf/Strobel Kopf"
301;Ksl. Münzhaus;48.2088765;16.3748456;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 6. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wollzeile_6-8&oldid=511173;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289053;Wollzeile 6;867;;Stubenviertel;Wollzeile, Münzhaus, ksl.
302;Bischofshof;48.2089778;16.3735007;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 3,2, Wien: Selbstverlag, 1950, S. 428. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Bischofshof&oldid=809262;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2316754;Stephansplatz 7;869;;Stubenviertel;"Singerstraße, Domprobstisches Haus;Thumherrenhof [Domherrenhof]"
303;Graben, Freysches Haus;48.2082165;16.371938;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 3,2, Wien: Selbstverlag, 1957, S. 407. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Stock-im-Eisen-Platz_1&oldid=511383;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278927;Stock-im-Eisen-Platz 1;875;Hr. Georg Frey erben;Kärntnerviertel;"Graben, Freysches Haus;Graben, Freysches Haus (1696-08-03)"
304;Stock im Eisen, Zum goldenen Becher;48.2080412;16.3720664;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 10. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Zum_goldenen_Becher&oldid=511474;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278931;Stock-im-Eisen-Platz 2;876;;Kärntnerviertel;"Stock im Eisen, im Goldenen Becher;Stock im Eisen, Goldener Becher, im Amt;Stock im Eisen, beim Goldenen Becher"
305;Singerstraße, Zum roten Apfel;48.2079152;16.3724991;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955,  S. 666. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Zum_roten_Apfel_(1,_Singerstra%C3%9Fe)&oldid=511460;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289207;Singerstraße 3;878;;Kärntnerviertel;"Singerstraße, roter Apfel;Singerstraße, roter Apfel, beim"
306;Deutsches Haus;48.2075309;16.373774;;https://www.geschichtewiki.wien.gv.at/index.php?title=Deutschordenshaus&oldid=436701;;Singerstraße 7;879;;Kärntnerviertel;"Singerstraße, Deutsches Haus;Singergasse, Deutsches Haus;Deutsches Haus"
307;Neue Welt, Zum schwarzen Rädl;48.2067347;16.3755341;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955, S. 666. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Rottalpalais&oldid=511133;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289207;Kumpfgasse 10;886;;Kärntnerviertel;Neue Welt, Schwarzes Rädl
308;Riemerstraße, Bäckerhaus;48.2065291;16.3756625;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 4,3, Wien: Selbstverlag, 1955, S. 725. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Riemergasse_16&oldid=510918;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2289265;Singerstraße 21;887;;Kärntnerviertel;Riemerstraße, Böckenhaus
